id	comment	character	yes	no	voice	scene
102001	Once upon a time, mother and sibling who are poor, were living happily in the deep mountain 	NARR			102001	102
103001	Their father passed away early, but the mother was taking responsibility of their family’s wealth by selling handmade rice cakes at the market which located on over several hills.	NARR			103001	103
103002	Shall i start to make some rice cake??	MOM			103002	103
103003	Rice cake making mini game	OHNUI			103003	103
104001			105001	104001		104
105001	Mother! the rice cake is so well made!	BOY			105001	105
105002	I think it'll be so delicious!	GIRL			105002	105
105003	Mother had a hard time to sell her rice cake at the market, but she got strength from seeing her daughter and son who get along well	NARR			105003	105
106001	It was late at night as usual when the mother finished working at the market and returning to home with the leftover rice cake	NARR			106001	106
106002	I think the forest is darker today	MOM			106002	106
107001	It was very dark in the forest like before she was use to walk, but this time she hurried her steps. all of the sudden, on the behind tree, she began to see a black figure. Glowing eyes, sharp fangs. It was a giant tiger.	NARR	107002		107001	107
107002	(tiger growling)	TIGER			107002	
107003	It's a tiger!	MOM			107003	107
108001	The tiger was drooling and looked at the mother who smells like delicious rice cake and said  	NARR			108001	108
108002	I won't eat you if you give me a piece of rice cake	TIGER			108002	108
109001	A mini game that gives you rice cake		110001			109
110001	(mom screaming)	MOM			110001	
110002	Mother gave all the rice cakes to the tiger, but he was still hungry, and eventually he ate the mother.	NARR			110002	110
111001	Well, I'm still hungry.	TIGER			111001	111
113001	Shall i go to her house?	TIGER			113001	113
113002	The tiger who stole his mother's clothes to eat the sibling	NARR			113002	113
114001	Dressed up like their mother and walked toward to the sibling’s house.	NARR			114001	114
201001	While the sibling were playing with toys at home, sister smiled brightly at the sound of footsteps she heard outside.	NARR			201001	201
201002	I think mom must have come back!	GIRL			201002	201
201003	When the sister tried to open the door with joy, her brother, who felt different from usual, held her hand and pulled back	NARR			201003	201
201004	Are you sure that you are our mother?	BOY			201004	201
201005	At that moment, loud and husky voice came out from beyond the door.	NARR			201005	201
201006	Guys, Mom, open the door.	TIGER			201006	201
201007	The brother who thought the voice is strange asked to tiger				201007	
201008	Then show me your hand through the doorstep.	BOY			201008	201
202001	What they could see below the doorstep was fluffy fur and thick, jelly-like hands. It was obviously tiger's hands but he thought her hands had "swelled up from the hard work" and that belief came from the strong anticipation and desire to be reunited with his beloved mother as soon as possible, so he let go and opened the door with confidence	NARR			202001	202
202002	Mom, you did a great job. I missed you!	BOY			202002	202
203001	Then, there was a huge tiger in his mother's clothes standing in front of his eyes. 	NARR			203001	203
203002	Roar!!	TIGER			203002	
203003	When they saw a tiger drooling and trying to devour them, they began to tremble and looking around.	NARR			203003	
204001	Brother!, I think that tiger wants us because he's hungry... Oh! I see the rice cake basket that mom prepared! Mom said there is a rice cake that the tiger especially likes... What was that?	GIRL			204001	204
204002	[Picking rice cake for the tiger] You have to decide on the rice cake for the tiger. The outcome of the game depends on the rice cake you choose, and you can experience various endings.	NARR			204002	204
204003	Option 1. Red bean rice cake: Rice cake full of traditional sweet red beans. Option 2. Mugwort rice cake: Rice cake with a bitter scent of mugwort.	NARR	205001	219001		204
205001	Here...this is the rice cake that you like the most	OHNUI			205001	205
205002	The sister carefully placed delicious rice cakes made by her mother in front of the tiger.	NARR			205002	205
206001	The tiger was hungry, so as soon as he saw the rice cakes, he began to eat in hurry with joy.	NARR			206001	206
206002	The tiger, who liked sweet red bean cakes, continued to eat them, becoming more and more greedy with the endless rice cakes. The tiger's stomach slowly became full.	NARR			206002	206
207001	Time has passed... Finally, the tiger fell into a sweet slumber.	NARR			207001	207
207002	Let’s Fill up the tiger's belly with stones to make him feel full!	NARR			207002	207
208001	when they open sleeping tiger's belly, there were mother that they have been looking for, 	NARR			208001	208
208002	Mom!!!	OHNUI			208002	208
208003	The sibling and mother share the joyfulness of reunion briefly, but soon they were thinking how to handle with the tiger 	NARR			208003	208
209001	Let’s Fill up the tiger's belly with stones to make him feel full!	BOY			209001	209
210001	While the tiger was asleep, the sibling and mother walked around the house and collected the stones, and fill the tiger's big stomach with it	NARR			210001	210
211001	My mother sewed the tiger's belly skillfully. After finishing everything, the sibling and mother quietly left the house, holding hands, and fled to the faraway place.	NARR			211001	211
212001	The tiger, who was asleep deeply without realizing his stomach had been split, woke up a few hours after sibling and mother had left.	NARR			212001	212
213001	Sighing...	TIGER			213001	213
213002	Bcs i ate too much rice cake im so thirsty 	TIGER			213002	213
214001	The tiger, who was Feeling something strange but full and thirsty at the same time, left the house, to search the well for quenching his thirst. 	NARR			214001	214
215001	After wandering for a long time, the tiger found a well when he was so tired that he could hardly walk. He approached the well to quench his thirst.	NARR			215001	215
215002	(gasping)	TIGER			215002	
216001	The tiger leaned into the well in a hurry with joy. At that moment! The weight of the stones in his body pushed him forward and he lost his balance.	NARR			216001	216
216002	OHOHOH..!!! AHHHHHHH!!	TIGER			216002	216
216003	THE tiger fell into the well	NARR			216003	216
216004	AHHHHH!! PLS Save....me...	TIGER			216004	216
217001	There is a story that the sibling and the mother, who ran away while the tiger was asleep, are living happily in a new village and selling rice cakes.	NARR			217001	217
